state,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Population,Ratio
Alabama,US,4/15/20,32.3182,-86.9023,4075,118,,3957,1,86.9074326,34077,525,2.895705521,84000001,USA,726.7594063,12.88343558,4903185,0.000831
Alaska,US,4/15/20,61.3707,-152.4044,293,9,106,284,2,49.01722964,8664,34,3.071672355,84000002,USA,1449.437808,11.60409556,731545,0.000401
Arizona,US,4/15/20,33.7298,-111.4312,3964,142,385,3822,4,54.4601473,45310,590,3.582240161,84000004,USA,622.4998169,14.8839556,7278717,0.000545
Arkansas,US,4/15/20,34.9697,-92.3731,1569,33,489,1536,5,60.60191725,21834,130,2.103250478,84000005,USA,843.328401,8.285532186,3017804,0.000520
California,US,4/15/20,36.1162,-119.6816,26686,860,,25826,6,68.06156401,216486,5163,3.226410852,84000006,USA,552.1387899,19.34722326,39512223,0.000675
Colorado,US,4/15/20,39.0598,-105.3111,7956,328,,7628,8,140.3963745,39580,1556,4.122674711,84000008,USA,698.4525517,19.55756662,5758736,0.001382
Connecticut,US,4/15/20,41.5978,-72.7554,14755,868,,13887,9,413.8516759,50143,1908,5.88275161,84000009,USA,1406.42254,12.93120976,3565287,0.004139
Delaware,US,4/15/20,39.3185,-75.5071,2014,46,354,1968,10,206.8262947,13102,208,2.284011917,84000010,USA,1345.500552,10.32770606,973764,0.002068
District of Columbia,US,4/15/20,38.8974,-77.0268,2197,72,530,2125,11,311.3004765,11525,313,3.277196177,84000011,USA,1633.016837,14.24670005,705749,0.003113
Florida,US,4/15/20,27.7663,-81.6868,22511,596,,21915,12,106.0209001,213509,3344,2.647594509,84000012,USA,1005.571337,14.8549598,21477737,0.001048
Georgia,US,4/15/20,33.0406,-83.6431,14987,552,,14435,13,147.8096371,64090,2922,3.6831921,84000013,USA,632.0891201,19.49689731,10617423,0.001412
Guam,US,4/15/20,13.4443,144.7937,135,5,73,130,66,82.2022907,978,9,3.703703704,316,GUM,595.5099282,6.666666667,159358,0.000847
Hawaii,US,4/15/20,21.0943,-157.4983,524,9,333,515,15,37.01124322,19803,45,1.717557252,84000015,USA,1398.728339,8.58778626,1415872,0.000370
Idaho,US,4/15/20,44.2405,-114.4788,1473,39,,1434,16,91.46244917,15398,141,2.647657841,84000016,USA,956.1023709,9.572301426,1787065,0.000824
Illinois,US,4/15/20,40.3495,-88.9861,24593,949,,23644,17,209.5580024,116929,4283,3.858821616,84000017,USA,996.3569986,17.41552474,12671821,0.001941
Indiana,US,4/15/20,39.8494,-86.2583,8960,436,,8524,18,136.9194409,48396,,4.866071429,84000018,USA,739.5483553,,6732219,0.001331
Iowa,US,4/15/20,42.0115,-93.2105,1995,53,908,1942,19,76.12432189,19869,171,2.656641604,84000019,USA,758.152457,8.571428571,3155070,0.000632
Kansas,US,4/15/20,38.5266,-96.7265,1504,71,,1433,20,61.67756413,14668,342,4.720744681,84000020,USA,601.5202863,22.7393617,2913314,0.000516
Kentucky,US,4/15/20,37.6681,-84.6701,2210,115,653,2095,21,64.55753405,27697,687,5.20361991,84000021,USA,809.0724076,31.08597285,4467673,0.000495
Louisiana,US,4/15/20,31.1695,-91.8678,21951,1103,,20848,22,477.479441,121928,1943,5.024828026,84000022,USA,2652.185016,8.85153296,4648794,0.004722
Maine,US,4/15/20,44.6939,-69.3819,770,24,305,746,23,65.58739904,14846,126,3.116883117,84000023,USA,1264.559125,16.36363636,1344212,0.000573
Maryland,US,4/15/20,39.0639,-76.8021,10032,311,607,9721,24,168.7941198,55763,2231,3.100079745,84000024,USA,938.2442686,22.23883573,6045680,0.001659
Massachusetts,US,4/15/20,42.2302,-71.5301,29918,1108,,28810,25,435.882777,132023,3454,3.703456113,84000025,USA,1923.475896,11.54488936,6892503,0.004341
Michigan,US,4/15/20,43.3266,-84.5361,28059,1921,452,26138,26,352.1788359,89697,3918,6.846288178,84000026,USA,1125.820059,13.96343419,9986857,0.002810
